participant_index,ResponseId,abortion_group,abortion_score,NPC,ALowC,AHighC,MisC,NPO,ALowO,AHighO,MisO
189,R_XC9BdUKGyfo3Vzr,pro-choice,4.039827639273621,How to roast a chicken,How long can a fetus survive outside of the womb?,How many states permit abortion?,Can abortions lead to breast cancer?,Why should I clean my food before cooking it?,Doctor fired for performing illegal abortion,Bishop fired for beliefs about abortion,Planned Parenthood scandal
190,R_5bvtE5Vtf4oAKvD,pro-life,2.7625115420129265,roasting a chicken,baby post conception,number of outlawed states with abortion,breast cancer threat with an abortion,benefits of washing chicken,illegal abortion gets doctor fired,priest stepping down on abortion,planned parenthood illegal babies
191,R_3qmwmmL9TR8n4sk,neutral,3.382517697753154,how long does it take to roast a chicken,how long can fetus survive outside the womb?,how many states have abortion outlawed?,breast cancer from abortion,should I wash chicken before cooking it?,doctor fired for performing abortion.,catholic bishop abortion,Planned Parenthood illegal fetus.
192,R_2Byx1bJJaGN6jpw,pro-choice,4.999999999999998,how long should you roast a chicken?,can a fetus survive on its own outside the womb 12 weeks after conception?,what is the number of states where abortion is outlawed 2022,does risk of breast cancer increase after receiving an abortion?,what are the benefits of washing chicken before cooking?,doctor looses license and gets fired for preforming illegal abortion 2022,Catholic bishop forced to step down due to position on abortion 2022,illegal sale of fetuses by Planned Parenthood 2022
193,R_XhdaYVVTSI15hAt,pro-life,2.412988611880578,how long to cook a chicken for ,can fetus survive outside the womb 12 weeks after conception ,how many states banned abortion ,does breast cancer affect abortion ,should you wash a chicken before cooking,doctor license lost due to illegal abortion,catholic bishop steps down due to abortion news,planned parenthood illegal sale of fetuses
194,R_2WMgszKV6jXiC28,pro-choice,4.414835333948906,What’s the best temperature to roast a chicken? ,What is the rules on if a fetus is conception after 12 weeks?,Which states allow abortions? ,Disadvantages of getting an abortion on breast cancer? ,What’s the benefits of washing your chicken before cooking it?,What are the disadvantages of closing more abortion centers,Are you not allowed to express your beliefs,Where are trusted planned parenthood locations?
195,R_3KPeQeAJ849f4zd,pro-life,2.182763927362265,what is the average amount of time that you should roast a chicken,can a fetus survive on its own outside the womb twelve weeks after conception,how many states have outlawed abortion,does receiving an abortion increase the risk of getting breast cancer,what are the benefits of washing chicken before cooking it,did a doctor lose their license for performing an aborition in a state where it is illegal,was a catholic bishop forced to step down because of his opinions on abortion,was there an illegal sale of fetuses by planned parenthood
196,R_6SsX8KX86T3Mmwp,pro-life,3.076454293628809,how long to roast a chicken,How long can a fetus survive outside of a womb after conception,States who outlawed abortion ,abortion cause cancer?,benefits of washing chicken,Doctor performs illegal abortion,Bishop forced to step down,Illegal sale of fetuses by planned parenthood
197,R_3g2hupOXCsIuaLv,pro-life,1.4018467220683286,how long should you roast a chicken,Can a fetus survive on its own 12 weeks after conception?,current date - number of states that have outlawed abortion,Does the risk of breast cancer increase after receiving an abortion,benefits of washing chicken before you cook it,current date- doctor lost license and got fired for performing abortion in state where abortion is illegal,current date - Catholic Bishop steps down from position,current date - planned parent hood and illegal fetus sales
198,R_0P4Rms0sagpkbVn,pro-life,3.0140350877192974,how long should I roast a chicken,can a fetus survive on its own 12 months after conception,states with abortion bans,does an abortion increase the chance of breast cancer ,should I wash chicken before I cook it,Abortion doctor loses license,catholic bishop steps down abortion,illegal fetus sales
199,R_0GO3tuULD6nDzpL,pro-choice,3.685257002154508,how long should you roast a chicken ,can a fetus survive on its own outside the womb after  12 weeks,number of states outlawing abortion,risk of breast cancer increases after abortion,benefits of washing a chicken,doctor who lost license due to abortion,cathloic bishop forced to step down,illegal sale of fetuses by planned parenthood
200,R_3EEgj2lJOJ9Z8QF,neutral,3.363311788242536,How long should i roast a chicken ,How long can fetus's survive on its own outside the womb.,States that have outlawed abortion ,Does risk of breast cancer increase after an abortion ,Benefits of washing chicken before cooking it,Doctor that got fired for illegal abortion,Catholic Bishop who stepped down because of his views,Illegal Sale of Fetuses by Planned Parenthood
201,R_vTFuqGQb7rCQlTX,neutral,3.176546629732225,how long to roast chicken,Can a fetus survive on its own after 12 weeks outside the womb,how many states outlawed abortion,Does abortion increase the risk of breast cancer,why should I wash chicken before cooking it,doctor who lost their license and fired for doing an illegal abortion,Catholic bishop who stepped down due to abortion position,Illegal sale of fetuses by planned parenthood
202,R_DP4sPqVouzAwk3n,neutral,3.3209602954755306,Perfect roast time for a chicken,Can a fetus survive on its own outside the womb after 12 weeks?,How many states have outlawed abortion?,Does risk of breast cancer increase after receiving an abortion?,pros and cons of washing chicken before cooking it,Doctor preforms illegal abortion,Catholic bishop forced to step down due to position on abortion,Illegal sale of fetuses by Planned Parenthood
203,R_vMERUPLVfkn5nFL,pro-life,2.5306863650353955,how long should I roast a chicken?,can a fetus survive outside the womb for 12 weeks?,how many states have outlawed abortion?,is there a risk of breast cancer after having an abortion,should I was a chicken before cooking it?,what doctor lost their license and got fired for performing abortion?,why were the catholic bishop forces to step down?,does planned parenthood sell fetuses?
204,R_24qIp41hHPoJoZ5,pro-choice,4.156294244382885,how long to roast a chicken,how long can a fetus survive outside the womb,which states ban abortion,does abortion increase breast cancer,should you wash chicken before cooking,doctor fired for abortion in a legal state,is abortion allowed in catholicism,planned parenthood illegal sale of fetuses
205,R_Ai0S0ZkziktNwOt,pro-choice,4.999999999999998,time it takes to cook a chicken,can a fetus survive 12 weeks after conception,states that outlawed abortion,breast cancer risk after abortion,benefits of washing chicken before you cook,doctor that preformed abortion and got fired,catholic bishop abortion stance,planned parenthood illegal sale of fetuses
206,R_1QrVKVE8i3GruxE,pro-choice,3.714435210834102,How long should I roast a chicken,Can a fetus survive outside the womb after 12 weeks,Which states outlawed abortion,Does abortion cause breast cancer,should I wash my chicken,doctor fired over illegal abortion,Catholic Bishop step down abortion,planned parenthood selling fetuses
207,R_1o4EEc8wnJqzHCD,pro-life,2.757710064635272,How long should you roast a chicken,can a fetus survive outside the womb 12 week after conception,how many states have outlawed abortion,risks of breast cancer after abortion,benefits of washing chicken before you cook it,Doctor loses license because of abortion,Catholic bishop steps down because of abortion,illegal sale of fetuses by planned parenthood
208,R_2tAtEZC70bkT1d6,pro-life,2.9130809479839948, how long you should roast a chicken.,womb 12 weeks,number of states that have outlawed abortion,risk of breast cancer increases after receiving an abortion.,benefits of washing chicken before you cook it,abortions and illegal,Catholic bishop,illegal sale of fetuses
209,R_2EnKB9o5cEqvD3V,pro-life,2.7980917205293934,How long does it take to roast a chicken,What is the earliest a baby can survive after conception,How many states have outlawed abortion,Does having an abortion increase the risk of breast cancer,What happens when you don't wash your chicken before cooking it,What are the repercussions of performing an abortion if it is illegal in the state you get it done,What was the Catholic bishop position on abortion,Why are people selling fetuses
210,R_3nUf4kIUN2B3bJY,pro-choice,4.189904586026469,Roast time for chicken,can a fetus survive on its own 12 weeks after conception?,States that have outlawed abortion,Does abortions increase your risk for breast cancer?,should I wash chicken before I cook it?,doctor losing license over abortion,Catholic Bishop abortion position,planned parenthood selling fetuses
211,R_3CPXBZDOoYsrWFm,pro-life,3.0,roast a chicken ,fetus ,law of abortion,breast cancer,washing chicken,abortion,Catholic bishop,illegal sale on social media
212,R_3G0QDxdqyR4wcpU,neutral,3.5765466297322246,roast chicken., fetus survive conception,outlawed abortion states ,breast cancer abortion,washing chicken,abortion license,Catholic bishop  abortion,fetuses by Planned Parenthood
213,R_1ghEh2LX242U2FQ,pro-life,3.0,What is a good time to roast a chicken for? ,Can a fetus survive on its own outside the womb 12 weeks after conception.,What states have outlawed abortion in the United States?,Does abortion increase the chance of having breast cancer?,Why washing chicken is beneficial?,What happened after doctor lost her license?,Why did Catholic Bishop step down?,What happened with the illegal sale of fetuses by Planned Parenthood?
214,R_2uhQiIxrZcH3auZ,pro-choice,4.495106186518928,how long to roast a chicken,how long does the  fetus survive outside the womb,number of states  have outlawed abortion,does risk of breast cancer increases after receiving an abortion,benefits of washing chicken before cook,does doctor get fire for performing an abortion when abortions were illegal,Catholic bishop abortion,illegal sale of fetuses by Planned Parenthood
215,R_3340GcOArWbrQM8,pro-choice,4.499538319482917,How long to roast chicken,Can a fetus survive outside of the womb after 12 weeks?,How many states have banned abortions,Do abortions increase the risk for breast cancer?,What does washing chicken before cooking it do?,Doctor who lost license for abortion,Bishop for abortions,Is Planned Parenthood selling fetuses?
216,R_3LZPEY96nQrMf1o,pro-choice,4.239519852262234,how long roast chicken,how old fetus survive outside womb,how many states abortion illegal,breast cancer risk higher after abortion,wash chicken,doctor fired illegal abortion,catholic bishop resign abortion,planned parenthood fetus sell
217,R_3stQQmOQwIW7tSm,pro-life,2.0227146814404438,How long do you roast a chicken,Can a fetus survive outside the womb ,Number of states that have outlawed abortion,does the risk of breast cancer increase after an abortion,Benefits of washing a chicken before cooking,Doctor loses license for abortions in illegal states,Catholic Bishop forced to step down because of abortion,illegal sales of fetuses
218,R_2tmseQNrQFyVTmO,pro-life,2.664142813173284,Roasting chicken time,Can a fetus survive after conception,States outlawing abortion,Breast Cancer after abortion,Benefits of washing chicken,Fired abortion,Catholic Bishop Abortion,Illegal fetuses
219,R_29iflwTGW8PKmKR,neutral,3.4251154201292704,How long should i roast a chicken,can a fetus survive outside the womb 12 weeks after conception,how many states have outlawed abortion,does risk of breast cancer increase after an abortion,should i wash chicken before I cook it,Doctor losing license over abortion,Catholic Bishop stepping down due to position on abortion,illegal sale of fetuses planned parenthood
220,R_3syUnh1xPi4A5Wk,neutral,3.351985226223453,How long should I roast a chicken,When can a fetus live outside of the womb,how many states don't allow abortion,does abortion increase risk of breast cancer,Is washing chicken before cooking a good idea,who is the doctor who lost their license for doing an  abortion,Catholic bishop forced to step down,does planned parenthood sell fetuses
221,R_2WxtqWMd5eqAKJC,pro-choice,4.880701754385964,Chicken roast time.,Can a fetus survive 12 weeks after conception?,What states have outlawed abortion?,Cancer abortion link.,Washing chicken pros and cons.,Illegal abortion license lost.,Catholic preist abortion stance.,Illegal Fetus sales.
222,R_3Pzrifu6rpFDPM9,neutral,3.288827331486611,The most suitable time to roast chicken,The possibility for fetus survives on its own outside the womb 12 weeks after conception,What states make abortion illegal?,The possibility of breast cancer after abortion,What are the benefits of washing chicken before cooking,In which states abortion is not legal,Why the Catholic Church does not allow abortion,What other problems may result from family planning
223,R_2AHeqI5xiin8y05,pro-choice,3.678362573099415,how long should i roast a chicken,can 12 week old fetus survive outside of womb,how many states outlaw abortion,does having an abortion increase risk of breast cancer,should i wash my chicken before i cook it,doctor loses license for performing abortion,catholic bishop steps down due to abortion opinion,illegal sale of fetuses planned parenthood
224,R_2WGZR5xQC8T2IFo,pro-choice,4.69012003693444,ROAST CHICKEN RECIPE,FETUS SURVIVAL AFTER 12 WEEKS,STATES OUTLAWED ABORTION,DOES BREAST CANCER INCREASE AFTER ABORTION,IS WASHING CHICKEN BENIFICIAL?,DOCTOR FIRED FOR ABORTION,CATHOLIC BISHOP FIRED ABORTION,PLANNED PARENTHOOD SELLING FETUSES
225,R_2Vg9JDUI3stSD2u,neutral,3.669621421975992,How long does it to roast a chicken?, whether a fetus can survive on its own outside the womb 12 weeks after conception.,How many states have banned abortion?,can abortion cause breast cancer in women?,what are the benefits of cleaning the chikcken before making a chicken dinner?,in which states do doctors get laid off for illegal helping patients get abortions?,which Catholic leader was forced to step down because of his position on abortion?,is anyone selling fetuses illegally through Pkanned Parenthood?
226,R_umRdgatrZnYrFJL,pro-life,3.0,how long do you roast chicken for,can a fetus survive outside the womb on its own,states that outlawed abortions,Do abortions cause higher rates of breast cancer,should I wash chicken before cooking it,doctor who was fired for giving illegal abortion,Catholic bishop who stepped down because of abortion stance,illegal sale of fetuses by planned parenthood
227,R_1KqAN53CReqDpSC,pro-choice,4.608125577100645,How long does it take to roast a chicken,How long can a fetus survive outside the womb,How many states have outlawed abortion,Do abortions increase risk of breast cancer,What are the benefits of washing a chicken,Doctor fired for performing an illegal abortion,Bishop forced to step down because of position on abortion,Planned Parenthood selling feruses
